
@RELATION joint

@ATTRIBUTE attr_0           STRING
@ATTRIBUTE attr_1           STRING
@ATTRIBUTE attr_2           STRING
@ATTRIBUTE attr_3           STRING
@ATTRIBUTE attr_4           STRING
@ATTRIBUTE attr_5           STRING
@ATTRIBUTE attr_6           STRING
@ATTRIBUTE attr_7           STRING
@ATTRIBUTE endswith         STRING
@ATTRIBUTE firstword        STRING
@ATTRIBUTE lastword         STRING
@ATTRIBUTE length           NUMERIC
@ATTRIBUTE nextisverb       STRING
@ATTRIBUTE nextlength       NUMERIC
@ATTRIBUTE nextstartswith   STRING
@ATTRIBUTE nextword         STRING
@ATTRIBUTE word             STRING
@ATTRIBUTE wordsafter       NUMERIC
@ATTRIBUTE wordsafterperc   NUMERIC
@ATTRIBUTE wordsbefore      NUMERIC
@ATTRIBUTE wordsbeforeperc  NUMERIC

@ATTRIBUTE class        {0,1,2,3,4}

@DATA
N,C,F,S,0,0,0,0,V,False,False,8,False,8,C,familiar,herencia,1,0.111111111111,7,0.777777777778,1
A,Q,0,C,S,0,0,0,C,False,True,8,False,0,N,1r03r03032,familiar,0,0.0,8,0.888888888889,4
V,M,I,S,3,S,0,0,C,True,False,5,False,2,V,el,Murió,7,0.875,0,0.0,3
D,A,0,M,S,0,0,0,C,False,False,2,False,10,C,periodista,el,6,0.75,1,0.125,1
N,C,C,S,0,0,0,0,V,False,False,10,False,7,C,creador,periodista,5,0.625,2,0.25,3
A,Q,0,M,S,0,0,0,C,False,False,7,False,3,C,del,creador,4,0.5,3,0.375,2
S,P,S,0,0,0,0,0,C,False,False,3,False,6,C,diario,del,3,0.375,4,0.5,1
N,C,M,S,0,0,0,0,V,False,False,6,False,2,C,La,diario,2,0.25,5,0.625,1
N,P,0,0,0,0,0,0,V,False,False,2,False,5,C,Razón,La,1,0.125,6,0.75,1
N,P,0,0,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,Razón,0,0.0,7,0.875,4
D,I,0,M,S,0,0,0,C,True,False,6,False,5,C,canto,Ningún,6,0.857142857143,0,0.0,3
N,C,M,S,0,0,0,0,V,False,False,5,False,2,C,de,canto,5,0.714285714286,1,0.142857142857,3
S,P,S,0,0,0,0,0,V,False,False,2,False,6,C,pájaro,de,4,0.571428571429,2,0.285714285714,1
N,C,M,S,0,0,0,0,V,False,False,6,True,6,V,alegra,pájaro,3,0.428571428571,3,0.428571428571,3
V,M,I,P,3,S,0,0,V,False,False,6,False,2,V,el,alegra,2,0.285714285714,4,0.571428571429,0
D,A,0,M,S,0,0,0,C,False,False,2,False,6,C,barrio,el,1,0.142857142857,5,0.714285714286,1
N,C,M,S,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,barrio,0,0.0,6,0.857142857143,4
R,N,0,0,0,0,0,0,V,True,False,2,True,2,V,es,No,8,0.888888888889,0,0.0,0
V,S,I,P,3,S,0,0,C,False,False,2,False,5,C,fácil,es,7,0.777777777778,1,0.111111111111,3
A,Q,0,C,S,0,0,0,C,False,False,5,True,9,V,arrojarse,fácil,6,0.666666666667,2,0.222222222222,3
V,M,N,0,0,0,0,0,V,False,False,9,False,2,V,al,arrojarse,5,0.555555555556,3,0.333333333333,1
S,P,S,0,0,0,0,0,C,False,False,2,False,4,V,agua,al,4,0.444444444444,4,0.444444444444,0
N,C,F,S,0,0,0,0,V,False,False,4,False,5,C,desde,agua,3,0.333333333333,5,0.555555555556,2
S,P,S,0,0,0,0,0,V,False,False,5,False,2,V,un,desde,2,0.222222222222,6,0.666666666667,0
D,I,0,M,S,0,0,0,C,False,False,2,False,9,C,trampolín,un,1,0.111111111111,7,0.777777777778,1
N,C,M,S,0,0,0,0,C,False,True,9,False,0,N,1r03r03032,trampolín,0,0.0,8,0.888888888889,4
R,N,0,0,0,0,0,0,V,True,False,2,True,7,V,escupir,No,4,0.8,0,0.0,0
V,M,N,0,0,0,0,0,C,False,False,7,False,2,V,en,escupir,3,0.6,1,0.2,3
S,P,S,0,0,0,0,0,C,False,False,2,False,2,V,el,en,2,0.4,2,0.4,0
D,A,0,M,S,0,0,0,C,False,False,2,False,5,C,suelo,el,1,0.2,3,0.6,1
N,C,M,S,0,0,0,0,V,False,True,5,False,0,N,1r03r03032,suelo,0,0.0,4,0.8,4
R,N,0,0,0,0,0,0,V,True,False,2,True,6,C,pueden,No,4,0.8,0,0.0,1
V,M,I,P,3,P,0,0,C,False,False,6,True,10,C,vincularse,pueden,3,0.6,1,0.2,1
V,M,N,0,0,0,0,0,V,False,False,10,False,3,C,las,vincularse,2,0.4,2,0.4,3
D,A,0,F,P,0,0,0,C,False,False,3,False,10,C,mediciones,las,1,0.2,3,0.6,1
N,C,F,P,0,0,0,0,C,False,True,10,False,0,N,1r03r03032,mediciones,0,0.0,4,0.8,4
D,A,0,M,S,0,0,0,C,True,False,2,False,6,C,gremio,El,8,0.888888888889,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,6,False,2,C,de,gremio,7,0.777777777778,1,0.111111111111,2
S,P,S,0,0,0,0,0,V,False,False,2,False,8,C,docentes,de,6,0.666666666667,2,0.222222222222,1
N,C,C,P,0,0,0,0,C,False,False,8,True,7,C,convocó,docentes,5,0.555555555556,3,0.333333333333,3
V,M,I,S,3,S,0,0,C,False,False,7,False,1,V,a,convocó,4,0.444444444444,4,0.444444444444,1
S,P,S,0,0,0,0,0,V,False,False,1,False,2,V,un,a,3,0.333333333333,5,0.555555555556,0
D,I,0,M,S,0,0,0,C,False,False,2,False,4,C,paro,un,2,0.222222222222,6,0.666666666667,1
N,C,M,S,0,0,0,0,V,False,False,4,False,8,C,nacional,paro,1,0.111111111111,7,0.777777777778,1
A,Q,0,C,S,0,0,0,C,False,True,8,False,0,N,1r03r03032,nacional,0,0.0,8,0.888888888889,4
R,G,0,0,0,0,0,0,V,True,False,5,True,7,V,intenté,Nunca,4,0.8,0,0.0,3
V,M,I,S,1,S,0,0,C,False,False,7,True,7,V,influir,intenté,3,0.6,1,0.2,1
V,M,N,0,0,0,0,0,C,False,False,7,False,2,V,en,influir,2,0.4,2,0.4,2
S,P,S,0,0,0,0,0,C,False,False,2,False,2,C,él,en,1,0.2,3,0.6,1
P,P,3,M,S,0,0,0,C,False,True,2,False,0,N,1r03r03032,él,0,0.0,4,0.8,4
V,M,I,S,3,P,0,0,C,True,False,10,False,10,C,dictaduras,Padecieron,3,0.75,0,0.0,3
N,C,F,P,0,0,0,0,C,False,False,10,False,1,C,y,dictaduras,2,0.5,1,0.25,4
C,C,0,0,0,0,0,0,C,False,False,1,False,12,C,dictablandas,y,1,0.25,2,0.5,1
A,Q,0,F,P,0,0,0,C,False,True,12,False,0,N,1r03r03032,dictablandas,0,0.0,3,0.75,4
S,P,S,0,0,0,0,0,V,True,False,4,True,9,C,desayunar,Para,7,0.875,0,0.0,1
V,M,N,0,0,0,0,0,C,False,False,9,True,5,C,pidió,desayunar,6,0.75,1,0.125,4
V,M,I,S,3,S,0,0,C,False,False,5,False,4,C,café,pidió,5,0.625,2,0.25,1
N,C,M,S,0,0,0,0,C,False,False,4,False,3,C,con,café,4,0.5,3,0.375,1
S,P,S,0,0,0,0,0,C,False,False,3,False,5,C,leche,con,3,0.375,4,0.5,1
N,C,F,S,0,0,0,0,V,False,False,5,False,1,C,y,leche,2,0.25,5,0.625,3
C,C,0,0,0,0,0,0,C,False,False,1,False,10,C,medialunas,y,1,0.125,6,0.75,1
N,C,F,P,0,0,0,0,C,False,True,10,False,0,N,1r03r03032,medialunas,0,0.0,7,0.875,4
V,M,I,S,3,S,0,0,C,True,False,6,False,2,C,su,Perdió,4,0.8,0,0.0,0
D,P,3,C,S,0,0,0,V,False,False,2,False,8,C,carácter,su,3,0.6,1,0.2,0
N,C,M,S,0,0,0,0,C,False,False,8,False,9,V,exclusivo,carácter,2,0.4,2,0.4,0
A,Q,0,M,S,0,0,0,V,False,False,9,False,7,C,Pinamar,exclusivo,1,0.2,3,0.6,3
N,P,0,0,0,0,0,0,C,False,True,7,False,0,N,1r03r03032,Pinamar,0,0.0,4,0.8,4
V,M,I,S,3,S,0,0,C,True,False,5,False,3,V,una,Pintó,5,0.833333333333,0,0.0,3
D,I,0,F,S,0,0,0,V,False,False,3,False,8,C,florcita,una,4,0.666666666667,1,0.166666666667,1
N,C,F,S,0,0,D,0,V,False,False,8,False,2,C,de,florcita,3,0.5,2,0.333333333333,3
S,P,S,0,0,0,0,0,V,False,False,2,False,5,C,color,de,2,0.333333333333,3,0.5,1
N,C,M,S,0,0,0,0,C,False,False,5,False,4,V,añil,color,1,0.166666666667,4,0.666666666667,0
N,C,M,S,0,0,0,0,C,False,True,4,False,0,N,1r03r03032,añil,0,0.0,5,0.833333333333,4
N,P,0,0,0,0,0,0,C,True,False,10,True,6,V,estafó,Polícrates,7,0.875,0,0.0,4
V,M,I,S,3,S,0,0,C,False,False,6,False,1,V,a,estafó,6,0.75,1,0.125,1
S,P,S,0,0,0,0,0,V,False,False,1,False,3,C,los,a,5,0.625,2,0.25,1
D,A,0,M,P,0,0,0,C,False,False,3,False,10,V,espartanos,los,4,0.5,3,0.375,0
N,C,M,P,0,0,0,0,C,False,False,10,False,3,C,con,espartanos,3,0.375,4,0.5,3
S,P,S,0,0,0,0,0,C,False,False,3,False,7,C,monedas,con,2,0.25,5,0.625,1
N,C,F,P,0,0,0,0,C,False,False,7,False,6,C,falsas,monedas,1,0.125,6,0.75,1
A,Q,0,F,P,0,0,0,C,False,True,6,False,0,N,1r03r03032,falsas,0,0.0,7,0.875,4
S,P,S,0,0,0,0,0,C,True,False,3,False,2,V,el,Por,6,0.857142857143,0,0.0,1
D,A,0,M,S,0,0,0,C,False,False,2,False,6,C,crimen,el,5,0.714285714286,1,0.142857142857,1
N,C,M,S,0,0,0,0,C,False,False,6,False,2,C,se,crimen,4,0.571428571429,2,0.285714285714,4
P,0,0,0,0,0,0,0,V,False,False,2,True,12,C,suspendieron,se,3,0.428571428571,3,0.428571428571,1
V,M,I,S,3,P,0,0,C,False,False,12,False,3,C,las,suspendieron,2,0.285714285714,4,0.571428571429,3
D,A,0,F,P,0,0,0,C,False,False,3,False,9,C,reuniones,las,1,0.142857142857,5,0.714285714286,1
N,C,F,P,0,0,0,0,C,False,True,9,False,0,N,1r03r03032,reuniones,0,0.0,6,0.857142857143,4
S,P,S,0,0,0,0,0,C,True,False,3,False,2,C,la,Por,10,0.909090909091,0,0.0,1
D,A,0,F,S,0,0,0,V,False,False,2,False,5,C,noche,la,9,0.818181818182,1,0.0909090909091,1
N,C,F,S,0,0,0,0,V,False,False,5,False,2,V,en,noche,8,0.727272727273,2,0.181818181818,3
S,P,S,0,0,0,0,0,C,False,False,2,False,2,V,el,en,7,0.636363636364,3,0.272727272727,0
D,A,0,M,S,0,0,0,C,False,False,2,False,3,C,sur,el,6,0.545454545455,4,0.363636363636,1
N,C,M,S,0,0,0,0,C,False,False,3,True,10,V,aparecerán,sur,5,0.454545454545,5,0.454545454545,4
V,M,I,F,3,P,0,0,C,False,False,10,False,5,C,nubes,aparecerán,4,0.363636363636,6,0.545454545455,3
N,C,F,P,0,0,0,0,C,False,False,5,False,1,C,y,nubes,3,0.272727272727,7,0.636363636364,4
C,C,0,0,0,0,0,0,C,False,False,1,False,9,C,probables,y,2,0.181818181818,8,0.727272727273,1
A,Q,0,C,P,0,0,0,C,False,False,9,False,7,C,lluvias,probables,1,0.0909090909091,9,0.818181818182,1
N,C,F,P,0,0,0,0,C,False,True,7,False,0,N,1r03r03032,lluvias,0,0.0,10,0.909090909091,4
C,S,0,0,0,0,0,0,V,True,False,3,True,6,C,tengas,Que,3,0.75,0,0.0,1
V,M,S,P,2,S,0,0,C,False,False,6,False,5,C,mucha,tengas,2,0.5,1,0.25,4
D,I,0,F,S,0,0,0,V,False,False,5,False,6,C,suerte,mucha,1,0.25,2,0.5,1
N,C,F,S,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,suerte,0,0.0,3,0.75,4
N,P,0,0,0,0,0,0,C,True,False,7,True,10,C,desarrolló,Quilmes,6,0.857142857143,0,0.0,4
V,M,I,S,3,S,0,0,C,False,False,10,False,3,V,una,desarrolló,5,0.714285714286,1,0.142857142857,2
D,I,0,F,S,0,0,0,V,False,False,3,False,7,C,botella,una,4,0.571428571429,2,0.285714285714,1
N,C,F,S,0,0,0,0,V,False,False,7,False,2,C,de,botella,3,0.428571428571,3,0.428571428571,2
S,P,S,0,0,0,0,0,V,False,False,2,False,6,C,cuello,de,2,0.285714285714,4,0.571428571429,1
N,C,M,S,0,0,0,0,V,False,False,6,False,5,C,largo,cuello,1,0.142857142857,5,0.714285714286,1
A,Q,0,M,S,0,0,0,V,False,True,5,False,0,N,1r03r03032,largo,0,0.0,6,0.857142857143,4
V,M,I,P,3,P,0,0,C,True,False,8,False,3,C,los,Rechazan,3,0.75,0,0.0,3
D,A,0,M,P,0,0,0,C,False,False,3,False,8,C,reclamos,los,2,0.5,1,0.25,1
N,C,M,P,0,0,0,0,C,False,False,8,False,13,V,agropecuarios,reclamos,1,0.25,2,0.5,0
A,Q,0,M,P,0,0,0,C,False,True,13,False,0,N,1r03r03032,agropecuarios,0,0.0,3,0.75,4
R,G,0,0,0,0,0,0,C,True,False,6,False,3,C,nos,Recién,4,0.8,0,0.0,3
P,P,1,C,P,0,0,0,C,False,False,3,True,6,C,dieron,nos,3,0.6,1,0.2,1
V,M,I,S,3,P,0,0,C,False,False,6,False,2,C,la,dieron,2,0.4,2,0.4,2
D,A,0,F,S,0,0,0,V,False,False,2,False,7,C,noticia,la,1,0.2,3,0.6,1
N,C,F,S,0,0,0,0,V,False,True,7,False,0,N,1r03r03032,noticia,0,0.0,4,0.8,4
V,M,I,S,3,S,0,0,C,True,False,5,False,4,C,para,Salió,5,0.833333333333,0,0.0,1
S,P,S,0,0,0,0,0,V,False,False,4,True,6,C,cerrar,para,4,0.666666666667,1,0.166666666667,1
V,M,N,0,0,0,0,0,C,False,False,6,False,2,C,la,cerrar,3,0.5,2,0.333333333333,3
D,A,0,F,S,0,0,0,V,False,False,2,False,6,C,puerta,la,2,0.333333333333,3,0.5,1
N,C,F,S,0,0,0,0,V,False,False,6,False,8,C,vidriera,puerta,1,0.166666666667,4,0.666666666667,1
N,C,F,S,0,0,0,0,V,False,True,8,False,0,N,1r03r03032,vidriera,0,0.0,5,0.833333333333,4
P,0,0,0,0,0,0,0,V,True,False,2,True,8,C,confirma,Se,6,0.857142857143,0,0.0,1
V,M,I,P,3,S,0,0,V,False,False,8,False,2,C,la,confirma,5,0.714285714286,1,0.142857142857,3
D,A,0,F,S,0,0,0,V,False,False,2,False,8,V,eficacia,la,4,0.571428571429,2,0.285714285714,0
N,C,F,S,0,0,0,0,V,False,False,8,False,2,C,de,eficacia,3,0.428571428571,3,0.428571428571,2
S,P,S,0,0,0,0,0,V,False,False,2,False,2,C,la,de,2,0.285714285714,4,0.571428571429,1
D,A,0,F,S,0,0,0,V,False,False,2,False,10,V,acupuntura,la,1,0.142857142857,5,0.714285714286,0
N,C,F,S,0,0,0,0,V,False,True,10,False,0,N,1r03r03032,acupuntura,0,0.0,6,0.857142857143,4
P,0,0,0,0,0,0,0,V,True,False,2,True,4,V,está,Se,8,0.888888888889,0,0.0,0
V,A,I,P,3,S,0,0,C,False,False,4,True,12,C,construyendo,está,7,0.777777777778,1,0.111111111111,1
V,M,G,0,0,0,0,0,V,False,False,12,False,2,C,la,construyendo,6,0.666666666667,2,0.222222222222,3
D,A,0,F,S,0,0,0,V,False,False,2,False,8,C,mezquita,la,5,0.555555555556,3,0.333333333333,1
N,C,F,S,0,0,0,0,V,False,False,8,False,3,C,más,mezquita,4,0.444444444444,4,0.444444444444,3
R,G,0,0,0,0,0,0,C,False,False,3,False,6,C,grande,más,3,0.333333333333,5,0.555555555556,0
A,Q,0,C,S,0,0,0,V,False,False,6,False,2,C,de,grande,2,0.222222222222,6,0.666666666667,2
S,P,S,0,0,0,0,0,V,False,False,2,False,7,C,América,de,1,0.111111111111,7,0.777777777778,0
N,P,0,0,0,0,0,0,V,False,True,7,False,0,N,1r03r03032,América,0,0.0,8,0.888888888889,4
P,0,0,0,0,0,0,0,V,True,False,2,True,9,C,mantienen,Se,6,0.857142857143,0,0.0,1
V,M,I,P,3,P,0,0,C,False,False,9,False,6,V,alerta,mantienen,5,0.714285714286,1,0.142857142857,1
R,G,0,0,0,0,0,0,V,False,False,6,False,6,C,frente,alerta,4,0.571428571429,2,0.285714285714,3
S,P,S,0,0,0,0,0,V,False,False,6,False,1,V,a,frente,3,0.428571428571,3,0.428571428571,1
S,P,S,0,0,0,0,0,V,False,False,1,False,2,C,la,a,2,0.285714285714,4,0.571428571429,1
D,A,0,F,S,0,0,0,V,False,False,2,False,6,C,crisis,la,1,0.142857142857,5,0.714285714286,1
N,C,F,N,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,crisis,0,0.0,6,0.857142857143,4
P,0,0,0,0,0,0,0,V,True,False,2,True,9,C,palpitaba,Se,6,0.857142857143,0,0.0,1
V,M,I,I,1,S,0,0,V,False,False,9,False,4,V,allí,palpitaba,5,0.714285714286,1,0.142857142857,1
R,G,0,0,0,0,0,0,C,False,False,4,False,6,C,cierto,allí,4,0.571428571429,2,0.285714285714,3
A,Q,0,M,S,0,0,0,V,False,False,6,False,5,C,ánimo,cierto,3,0.428571428571,3,0.428571428571,0
N,C,M,S,0,0,0,0,V,False,False,5,False,2,C,de,ánimo,2,0.285714285714,4,0.571428571429,3
S,P,S,0,0,0,0,0,V,False,False,2,False,7,C,triunfo,de,1,0.142857142857,5,0.714285714286,1
N,C,M,S,0,0,0,0,V,False,True,7,False,0,N,1r03r03032,triunfo,0,0.0,6,0.857142857143,4
V,S,I,P,3,P,0,0,C,True,False,3,False,10,C,ciudadanos,Son,8,0.888888888889,0,0.0,1
N,C,M,P,0,0,0,0,C,False,False,10,True,12,C,desalentados,ciudadanos,7,0.777777777778,1,0.111111111111,1
V,M,P,0,0,P,M,0,C,False,False,12,False,3,C,que,desalentados,6,0.666666666667,2,0.222222222222,3
P,R,0,C,N,0,0,0,V,False,False,3,False,2,C,no,que,5,0.555555555556,3,0.333333333333,1
R,N,0,0,0,0,0,0,V,False,False,2,True,6,C,pueden,no,4,0.444444444444,4,0.444444444444,1
V,M,I,P,3,P,0,0,C,False,False,6,True,8,V,afrontar,pueden,3,0.333333333333,5,0.555555555556,3
V,M,N,0,0,0,0,0,C,False,False,8,False,3,C,los,afrontar,2,0.222222222222,6,0.666666666667,1
D,A,0,M,P,0,0,0,C,False,False,3,False,6,C,gastos,los,1,0.111111111111,7,0.777777777778,1
N,C,M,P,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,gastos,0,0.0,8,0.888888888889,4
D,P,3,C,S,0,0,0,V,True,False,2,False,7,C,titular,Su,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,7,True,7,C,calculó,titular,8,0.8,1,0.1,3
V,M,I,S,3,S,0,0,C,False,False,7,False,3,C,que,calculó,7,0.7,2,0.2,2
C,S,0,0,0,0,0,0,V,False,False,3,False,2,C,la,que,6,0.6,3,0.3,1
D,A,0,F,S,0,0,0,V,False,False,2,False,4,C,suma,la,5,0.5,4,0.4,1
N,C,F,S,0,0,0,0,V,False,False,4,True,6,C,podría,suma,4,0.4,5,0.5,3
V,M,I,C,1,S,0,0,V,False,False,6,True,8,V,ascender,podría,3,0.3,6,0.6,1
V,M,N,0,0,0,0,0,C,False,False,8,False,2,V,al,ascender,2,0.2,7,0.7,0
S,P,S,0,0,0,0,0,C,False,False,2,False,5,C,doble,al,1,0.1,8,0.8,1
A,Q,0,C,S,0,0,0,V,False,True,5,False,0,N,1r03r03032,doble,0,0.0,9,0.9,4
V,M,I,S,3,P,0,0,C,True,False,8,False,3,C,las,Subieron,6,0.857142857143,0,0.0,3
D,A,0,F,P,0,0,0,C,False,False,3,False,7,C,tarifas,las,5,0.714285714286,1,0.142857142857,1
N,C,F,P,0,0,0,0,C,False,False,7,False,2,C,de,tarifas,4,0.571428571429,2,0.285714285714,2
S,P,S,0,0,0,0,0,V,False,False,2,False,3,C,los,de,3,0.428571428571,3,0.428571428571,1
D,A,0,M,P,0,0,0,C,False,False,3,False,9,C,servicios,los,2,0.285714285714,4,0.571428571429,0
N,C,M,P,0,0,0,0,C,False,False,9,False,8,C,públicos,servicios,1,0.142857142857,5,0.714285714286,1
A,Q,0,M,P,0,0,0,C,False,True,8,False,0,N,1r03r03032,públicos,0,0.0,6,0.857142857143,4
V,M,I,P,3,S,0,0,V,True,False,5,False,6,C,muchos,Tiene,6,0.857142857143,0,0.0,1
D,I,0,M,P,0,0,0,C,False,False,6,False,11,V,entusiastas,muchos,5,0.714285714286,1,0.142857142857,0
N,C,C,P,0,0,0,0,C,False,False,11,False,2,C,la,entusiastas,4,0.571428571429,2,0.285714285714,3
D,A,0,F,S,0,0,0,V,False,False,2,False,7,C,náutica,la,3,0.428571428571,3,0.428571428571,1
N,C,F,S,0,0,0,0,V,False,False,7,False,2,V,en,náutica,2,0.285714285714,4,0.571428571429,2
S,P,S,0,0,0,0,0,C,False,False,2,False,6,C,Moreno,en,1,0.142857142857,5,0.714285714286,1
N,P,0,0,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,Moreno,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,V,True,False,6,True,8,C,garantía,Triple,5,0.833333333333,0,0.0,1
V,M,I,I,1,S,0,0,V,False,False,8,False,2,V,en,garantía,4,0.666666666667,1,0.166666666667,3
S,P,S,0,0,0,0,0,C,False,False,2,False,3,C,los,en,3,0.5,2,0.333333333333,1
D,A,0,M,P,0,0,0,C,False,False,3,False,9,C,depósitos,los,2,0.333333333333,3,0.5,1
N,C,M,P,0,0,0,0,C,False,False,9,False,9,C,bancarios,depósitos,1,0.166666666667,4,0.666666666667,1
A,Q,0,M,P,0,0,0,C,False,True,9,False,0,N,1r03r03032,bancarios,0,0.0,5,0.833333333333,4
N,P,0,0,0,0,0,0,V,True,False,7,True,2,V,es,Turquía,6,0.857142857143,0,0.0,3
V,S,I,P,3,S,0,0,C,False,False,2,False,2,V,un,es,5,0.714285714286,1,0.142857142857,0
D,I,0,M,S,0,0,0,C,False,False,2,False,6,C,pueblo,un,4,0.571428571429,2,0.285714285714,1
N,C,M,S,0,0,0,0,V,False,False,6,False,8,C,propenso,pueblo,3,0.428571428571,3,0.428571428571,3
A,Q,0,M,S,0,0,0,V,False,False,8,False,1,V,a,propenso,2,0.285714285714,4,0.571428571429,1
S,P,S,0,0,0,0,0,V,False,False,1,False,6,C,sismos,a,1,0.142857142857,5,0.714285714286,1
N,C,M,P,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,sismos,0,0.0,6,0.857142857143,4
D,I,0,M,S,0,0,0,C,True,False,2,False,9,C,changarín,Un,9,0.9,0,0.0,2
N,C,M,S,0,0,0,0,C,False,False,9,False,2,C,se,changarín,8,0.8,1,0.1,3
P,0,0,0,0,0,0,0,V,False,False,2,True,8,C,presentó,se,7,0.7,2,0.2,1
V,M,I,S,3,S,0,0,C,False,False,8,False,2,V,en,presentó,6,0.6,3,0.3,0
S,P,S,0,0,0,0,0,C,False,False,2,False,2,C,la,en,5,0.5,4,0.4,1
D,A,0,F,S,0,0,0,V,False,False,2,False,4,C,sede,la,4,0.4,5,0.5,1
N,C,F,S,0,0,0,0,V,False,False,4,False,2,C,de,sede,3,0.3,6,0.6,2
S,P,S,0,0,0,0,0,V,False,False,2,False,2,C,la,de,2,0.2,7,0.7,1
D,A,0,F,S,0,0,0,V,False,False,2,False,7,C,lotería,la,1,0.1,8,0.8,1
N,C,F,S,0,0,0,0,V,False,True,7,False,0,N,1r03r03032,lotería,0,0.0,9,0.9,4
D,I,0,M,S,0,0,0,C,True,False,2,False,6,C,cuadro,Un,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,6,False,8,C,distinto,cuadro,5,0.714285714286,1,0.142857142857,1
A,Q,0,M,S,0,0,0,V,False,False,8,False,2,C,se,distinto,4,0.571428571429,2,0.285714285714,3
P,0,0,0,0,0,0,0,V,False,False,2,True,5,C,vivía,se,3,0.428571428571,3,0.428571428571,0
V,M,I,I,1,S,0,0,V,False,False,5,False,2,V,en,vivía,2,0.285714285714,4,0.571428571429,1
S,P,S,0,0,0,0,0,C,False,False,2,False,4,C,Boca,en,1,0.142857142857,5,0.714285714286,1
N,P,0,0,0,0,0,0,V,False,True,4,False,0,N,1r03r03032,Boca,0,0.0,6,0.857142857143,4
D,I,0,M,S,0,0,0,C,True,False,2,False,7,C,perfume,Un,8,0.888888888889,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,7,False,2,C,de,perfume,7,0.777777777778,1,0.111111111111,2
S,P,S,0,0,0,0,0,V,False,False,2,False,8,C,claveles,de,6,0.666666666667,2,0.222222222222,1
N,C,M,P,0,0,0,0,C,False,False,8,False,1,C,y,claveles,5,0.555555555556,3,0.333333333333,1
C,C,0,0,0,0,0,0,C,False,False,1,False,9,C,magnolias,y,4,0.444444444444,4,0.444444444444,0
N,C,F,P,0,0,0,0,C,False,False,9,True,7,V,invadió,magnolias,3,0.333333333333,5,0.555555555556,4
V,M,I,S,3,S,0,0,C,False,False,7,False,2,V,el,invadió,2,0.222222222222,6,0.666666666667,1
D,A,0,M,S,0,0,0,C,False,False,2,False,5,C,lugar,el,1,0.111111111111,7,0.777777777778,0
N,C,M,S,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,lugar,0,0.0,8,0.888888888889,4
D,I,0,M,S,0,0,0,C,True,False,2,False,6,C,recreo,Un,7,0.875,0,0.0,2
N,C,M,S,0,0,0,0,V,False,False,6,True,6,V,ofrece,recreo,6,0.75,1,0.125,4
V,M,I,P,3,S,0,0,V,False,False,6,False,8,C,deportes,ofrece,5,0.625,2,0.25,1
N,C,M,P,0,0,0,0,C,False,False,8,False,1,C,y,deportes,4,0.5,3,0.375,0
C,C,0,0,0,0,0,0,C,False,False,1,False,11,C,restaurante,y,3,0.375,4,0.5,1
N,C,M,S,0,0,0,0,V,False,False,11,False,2,V,en,restaurante,2,0.25,5,0.625,0
S,P,S,0,0,0,0,0,C,False,False,2,False,5,C,Chañá,en,1,0.125,6,0.75,1
N,P,0,0,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,Chañá,0,0.0,7,0.875,4
D,I,0,M,S,0,0,0,C,True,False,2,False,5,C,robot,Un,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,5,True,8,C,localizó,robot,5,0.714285714286,1,0.142857142857,3
V,M,I,S,3,S,0,0,C,False,False,8,False,4,V,ayer,localizó,4,0.571428571429,2,0.285714285714,0
R,G,0,0,0,0,0,0,C,False,False,4,False,3,C,las,ayer,3,0.428571428571,3,0.428571428571,3
D,A,0,F,P,0,0,0,C,False,False,3,False,5,C,cajas,las,2,0.285714285714,4,0.571428571429,1
N,C,F,P,0,0,0,0,C,False,False,5,False,6,C,negras,cajas,1,0.142857142857,5,0.714285714286,1
A,Q,0,F,P,0,0,0,C,False,True,6,False,0,N,1r03r03032,negras,0,0.0,6,0.857142857143,4
D,I,0,M,S,0,0,0,C,True,False,2,False,5,C,sutil,Un,5,0.833333333333,0,0.0,1
A,Q,0,C,S,0,0,0,C,False,False,5,False,9,C,monumento,sutil,4,0.666666666667,1,0.166666666667,1
N,C,M,S,0,0,0,0,V,False,False,9,True,6,V,arribó,monumento,3,0.5,2,0.333333333333,3
V,M,I,S,3,S,0,0,C,False,False,6,False,4,C,para,arribó,2,0.333333333333,3,0.5,1
S,P,S,0,0,0,0,0,V,False,False,4,True,8,C,quedarse,para,1,0.166666666667,4,0.666666666667,1
